UUID.x	Superpopulation.code
193b1474-747a-53a7-9253-b8fbe4adddcd	NoCODE
198b45e0-e449-5d3e-80ca-5567e3cbf2ed	NoCODE
19965ba7-4689-53f3-810e-26d4ab966041	SAS
19eb5b70-076e-5e8a-a824-9924a8478509	NoCODE
1a6672ff-999a-55a4-bdaf-6d4795d54ce3	NoCODE
1a91c9b0-052f-5f25-85f9-cab4cf6a70d9	NoCODE
1ac81333-fbca-5cff-97c4-0e3ecdb85fa2	NoCODE
1aeb17b0-ec48-5328-b806-94bf5fdffb2d	SAS
1af326f8-aee5-5fe3-a50a-10d933e782db	EUR
1b33302e-08e8-531d-9e6f-85570c792362	NoCODE
1b6ce954-51b2-574d-88e1-955eacffbc08	NoCODE
1b9df7d7-adc4-5cdc-a2ed-9dfcc5940277	NoCODE
1bbc6327-53b8-5ef8-b8f5-d489b8469673	NoCODE
1d51c08d-1a05-59c9-ac7f-17131a9b649b	NoCODE
1e177dcf-84ce-5444-be86-4aa774cf8ff8	EUR
1e1fff22-2aa8-59ef-b746-83ca91f97291	NoCODE
1e56ca81-923c-5c8c-ab04-a2313ea5bfaf	NoCODE
1e9c1632-b243-5d1d-b185-7dc106cb98ee	NoCODE
1ea3f8c4-d191-56fa-ad82-abc7c7c28428	NoCODE
1ebd5109-1149-52fe-a7de-88f789901cbe	AFR
1ec366fb-51fa-5111-a3d6-d5c91581220a	NoCODE
1f64c16e-afc1-544e-9aed-d3dfacd1ac6c	NoCODE
1f6e4743-4730-5ea7-a95c-aec0a61f24a5	NoCODE
1f90ea8d-c4c0-509c-aeee-73c756d4a479	EAS
1fcc1e20-114f-5161-8b44-20cf36d18a54	NoCODE
20182094-9315-55ca-a892-9e279c3ae50c	EAS
202f9619-81d9-5ebd-a3bf-248122cf49eb	NoCODE
2057a95d-f2ba-55cb-b098-0f864cf2ce9f	NoCODE
2074b9cc-f62f-5039-b906-6def702e98ac	NoCODE
2086ac7b-e436-5d2b-9aac-1b5f94d3c5e5	EUR
20caa82e-b971-573a-a32e-67ad869531b2	NoCODE
